Tree ID,Tree Type,Genus,Species,Common Name,Canopy Spread,Height,Latitude,Longitude
12380,DECIDUOUS,Acer,platanoides,Norway Maple,22.0,33.0,40.0097303,-105.2720151
12384,CONIFEROUS,Cedrus,None,Cedar,8.0,20.0,40.00981822,-105.272267
12398,DECIDUOUS,Celtis,occidentalis,Common Hackberry,12.0,24.0,40.01013102,-105.2731134
12900,CONIFEROUS,Picea,pungens,Blue Spruce,24.0,58.0,40.00933775,-105.2732351
12916,DECIDUOUS,Platanus,acerifolia,American plane tree,25.0,60.0,40.00906298,-105.2744646
12918,DECIDUOUS,Quercus,macrocarpa,Bur Oak,30.0,35.0,40.00878969,-105.2748263
12925,DECIDUOUS,Acer,saccharum,Sugar Maple,18.0,25.0,40.01026336,-105.2745535
12927,DECIDUOUS,Acer,saccharinum,Silver Maple,30.0,45.0,40.01009267,-105.2748757
12933,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,16.0,35.0,40.01034656,-105.2747304
12682,DECIDUOUS,Koelreuteria,None,Golden Rain Tree,15.0,30.0,40.0081746,-105.2747243
12685,DECIDUOUS,Quercus,alba,White Oak,30.0,40.0,40.00823608,-105.2745739
12726,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,30.0,56.0,40.00811643,-105.2745645
12733,CONIFEROUS,Picea,pungens,Blue Spruce,8.0,24.0,40.00825318,-105.2743454
12734,DECIDUOUS,Malus,None,Apple,16.0,22.0,40.00823212,-105.2713255
12735,DECIDUOUS,Malus,None,Apple,16.0,20.0,40.00820722,-105.2713254
12785,DECIDUOUS,Acer,saccharum,Sugar Maple,18.0,35.0,40.00936314,-105.2722618
12787,DECIDUOUS,Gymnocladus,dioicus,Kentucky Coffeetree,30.0,30.0,40.00935374,-105.2718479
12803,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,30.0,50.0,40.00895257,-105.2735384
12823,CONIFEROUS,Picea,pungens,Blue Spruce,18.0,40.0,40.00824513,-105.2711863
12847,CONIFEROUS,Juniperus,None,Rocky Mountain Juniper,20.0,46.0,40.00773893,-105.2728514
12856,CONIFEROUS,Picea,pungens,Blue Spruce,12.0,36.0,40.00911312,-105.2712566
12865,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,35.0,40.00932244,-105.2705961
12867,CONIFEROUS,Picea,pungens,Blue Spruce,24.0,47.0,40.00915674,-105.2705136
12868,CONIFEROUS,Juniperus,None,Juniper,12.0,30.0,40.00911364,-105.2702821
12885,CONIFEROUS,Abies,concolor,White Fir,8.0,35.0,40.00933403,-105.2718817
12893,CONIFEROUS,Picea,glauca,White Spruce,8.0,30.0,40.00906382,-105.2735717
